ticker,score,ic,hit_rate,flat_rate,long_rate,short_rate,positive_ic_folds,total_folds,criteria_met,status
^VIX,98.2,0.3875,0.541,0.232,0.5951,0.173,5,5,True,GREEN
BTCUSD,80.9,0.2264,0.483,0.268,0.608,0.124,4,5,True,GREEN
IWM,79.3,0.1024,0.4931,0.4076,0.5222,0.0701,4,5,True,GREEN
ES,76.9,0.1273,0.4793,0.3276,0.5972,0.0752,4,5,True,GREEN
^DJI,70.4,0.0913,0.4754,0.2976,0.6609,0.0415,4,5,False,YELLOW
NZDCHF,70.0,0.1503,0.384,0.4589,0.2189,0.3222,5,5,False,YELLOW
EURGBP,69.0,0.1104,0.4152,0.4737,0.3408,0.1856,4,5,True,GREEN
NQ,67.9,0.0932,0.4569,0.3472,0.5445,0.1084,3,5,True,GREEN
GC,66.7,0.127,0.4036,0.3786,0.4228,0.1986,4,5,True,GREEN
AUDCAD,61.0,0.0964,0.2541,0.3966,0.0959,0.5075,4,5,False,YELLOW
EURJPY,61.0,0.0974,0.3876,0.5433,0.2844,0.1723,3,5,False,YELLOW
EURCAD,58.3,0.0774,0.4266,0.4748,0.3338,0.1914,3,5,True,YELLOW
CHFJPY,56.5,0.0763,0.3667,0.3264,0.3958,0.2778,4,5,False,YELLOW
AUDCHF,54.6,0.0814,0.3807,0.5586,0.1921,0.2493,3,5,False,YELLOW
USDJPY,54.3,0.0808,0.364,0.4481,0.2495,0.3025,3,5,False,YELLOW
CL,52.7,0.0644,0.4246,0.4119,0.4316,0.1565,3,5,True,YELLOW
USDCHF,50.9,0.0623,0.3894,0.4339,0.2926,0.2735,4,5,False,YELLOW
USDCAD,46.4,0.061,0.3563,0.4833,0.2,0.3167,3,5,False,YELLOW
CADJPY,46.2,0.0504,0.3816,0.4339,0.3364,0.2297,4,5,False,YELLOW
GBPCHF,45.5,0.0314,0.4618,0.4764,0.3942,0.1295,3,5,True,YELLOW
EURUSD,37.8,0.0389,0.4014,0.5986,0.1993,0.202,3,5,True,RED
GBPAUD,37.5,0.0327,0.4123,0.4178,0.4336,0.1486,3,5,True,RED
EURNZD,35.7,0.0266,0.4021,0.5018,0.3689,0.1293,4,5,False,RED
AUDJPY,33.3,0.0281,0.3244,0.4777,0.1972,0.3251,3,5,False,RED
EURAUD,30.9,-0.0007,0.4575,0.473,0.4112,0.1158,3,5,False,RED
CADCHF,24.3,-0.0012,0.4341,0.4167,0.4036,0.1797,2,5,False,RED
GBPJPY,23.8,0.0045,0.3371,0.5265,0.2106,0.2629,3,5,False,RED
EURCHF,20.6,-0.0035,0.3273,0.3799,0.3014,0.3187,3,5,False,RED
GBPCAD,17.3,-0.0,0.4007,0.6097,0.1375,0.2528,2,5,False,RED
GBPUSD,1.7,-0.0524,0.4385,0.6131,0.2818,0.1052,2,5,False,RED
NZDJPY,-1.3,-0.0484,0.2944,0.442,0.221,0.3371,2,5,False,RED
AUDNZD,-5.7,-0.0593,0.2779,0.455,0.1987,0.3463,2,5,False,RED
NZDCAD,-8.9,-0.0563,0.2986,0.4458,0.0833,0.4708,2,5,False,RED
AUDUSD,-10.1,-0.0604,0.3863,0.5194,0.213,0.2676,1,5,False,RED
NZDUSD,-12.8,-0.0769,0.3647,0.5073,0.2,0.2927,2,5,False,RED
GBPNZD,-18.4,-0.0803,0.3894,0.5258,0.3286,0.1456,1,5,False,RED
